id,issue
bestmuscat:restaurant:mt-m-lmyd,missing_address
bestmuscat:restaurant:mt-m-lmyd,no_photo
bestmuscat:restaurant:mt-m-lrwsh,missing_address
bestmuscat:restaurant:mt-m-lrwsh,no_photo
bestmuscat:restaurant:saqar-karak-teao,no_photo
bestmuscat:restaurant:the-jungle,no_photo
bestmuscat:restaurant:the-jungle,missing_address
bestmuscat:restaurant:the-jungle,no_photo
bestmuscat:restaurant:zahr-el-laymoun,no_photo
bestmuscat:restaurant:chez-sushi,no_photo
bestmuscat:restaurant:the-yellow-chilli,no_photo
bestmuscat:restaurant:al-fadi-restaurant,no_photo
bestmuscat:restaurant:thai-corner,no_photo
bestmuscat:restaurant:al-zaitoun,no_photo
bestmuscat:restaurant:mt-m-sdf-lyrny,no_photo
bestmuscat:restaurant:paprika-restaurant,no_photo
bestmuscat:restaurant:mt-m-lkwkh-ltrky,missing_address
bestmuscat:restaurant:mt-m-lkwkh-ltrky,no_photo
bestmuscat:restaurant:mt-m-bw-lfrwq,missing_address
bestmuscat:restaurant:mt-m-bw-lfrwq,no_photo
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:mtr,no_photo
bestmuscat:restaurant:rfc,no_photo
bestmuscat:restaurant:mt-m-lrnb-ljy,missing_address
bestmuscat:restaurant:mt-m-lrnb-ljy,no_photo
bestmuscat:restaurant:mt-m-ltrky,no_photo
bestmuscat:restaurant:mt-m,missing_address
bestmuscat:restaurant:mt-m,no_photo
bestmuscat:restaurant:mani-s-oman-qurum,no_photo
bestmuscat:restaurant:glacier-cafe,no_photo
bestmuscat:restaurant:mt-m-ljzyr-lwlym-l-rs,no_photo
bestmuscat:restaurant:mt-m-lbkstny,no_photo
bestmuscat:restaurant:savannah-bbq,missing_address
bestmuscat:restaurant:savannah-bbq,no_photo
bestmuscat:restaurant:ttt,missing_address
bestmuscat:restaurant:ttt,no_photo
bestmuscat:restaurant:bait-al-luban,missing_address
bestmuscat:restaurant:khyber,no_photo
bestmuscat:restaurant:bin-ateeq-restaurant,no_photo
bestmuscat:restaurant:blue-marlin,no_photo
bestmuscat:restaurant:nando-s,no_photo
bestmuscat:restaurant:mt-m-ljnyn,no_photo
bestmuscat:restaurant:mt-m-lstnbwly,missing_address
bestmuscat:restaurant:mt-m-lstnbwly,no_photo
bestmuscat:restaurant:mt-m-rfywly,no_photo
bestmuscat:restaurant:mt-m-lrwsh,no_photo
bestmuscat:restaurant:cafe-bateel,no_photo
bestmuscat:restaurant:mt-m,no_photo
bestmuscat:restaurant:mt-m-bhr-lnrjyl-znjbry,missing_address
bestmuscat:restaurant:mt-m-bhr-lnrjyl-znjbry,no_photo
bestmuscat:restaurant:njwm-thlth,missing_address
bestmuscat:restaurant:njwm-thlth,no_photo
bestmuscat:restaurant:mkdwnlz,missing_address
bestmuscat:restaurant:mkdwnlz,no_photo
bestmuscat:restaurant:ljhlh-ltrky,missing_address
bestmuscat:restaurant:ljhlh-ltrky,no_photo
bestmuscat:restaurant:bait-fairuz,no_photo
bestmuscat:restaurant:kebab-house,no_photo
bestmuscat:restaurant:felfela-muscat,missing_address
bestmuscat:restaurant:felfela-muscat,no_photo
bestmuscat:restaurant:jollibee,no_photo
bestmuscat:restaurant:restaurant-afnan,no_photo
bestmuscat:restaurant:irani-house-restaurant,no_photo
bestmuscat:restaurant:delma-restaurant,no_photo
bestmuscat:restaurant:al-khodi-restaurant,no_photo
bestmuscat:restaurant:turkish-cafeteria,no_photo
bestmuscat:restaurant:pizza-muscat,no_photo
bestmuscat:restaurant:coffee-shop-grill,no_photo
bestmuscat:restaurant:restaurant-coffee-shop,no_photo
bestmuscat:restaurant:al-hooti-restaurant-markets,no_photo
bestmuscat:restaurant:al-zafran-house,no_photo
bestmuscat:restaurant:mt-m-smd-l-rqy,no_photo
bestmuscat:restaurant:grill-house-co-l-l-c,no_photo
bestmuscat:restaurant:iranian-sweets,no_photo
bestmuscat:restaurant:annalakshmi-restaurant,missing_address
bestmuscat:restaurant:annalakshmi-restaurant,no_photo
bestmuscat:restaurant:lemongrass,no_photo
bestmuscat:restaurant:kobe-sizzlers,no_photo
bestmuscat:restaurant:eat-smart,no_photo
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:tasty-chicken,no_photo
bestmuscat:restaurant:the-nawabs,no_photo
bestmuscat:restaurant:chandni-chowk,no_photo
bestmuscat:restaurant:momos-noodles-shop,no_photo
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:chicking,no_photo
bestmuscat:restaurant:restaurant-coffee-shop,no_photo
bestmuscat:restaurant:eat-smart,no_photo
bestmuscat:restaurant:pizza-muscat,no_photo
bestmuscat:restaurant:tabaq,no_photo
bestmuscat:restaurant:highest-mountain,no_photo
bestmuscat:restaurant:al-mande-corner-restaurant,no_photo
bestmuscat:restaurant:al-safadi-restaurant,no_photo
bestmuscat:restaurant:reveal,no_photo
bestmuscat:restaurant:turkish-house-restaurant,no_photo
bestmuscat:restaurant:pinoy-chix,no_photo
bestmuscat:restaurant:modern-green-house-restaurant,no_photo
bestmuscat:restaurant:al-alami,no_photo
bestmuscat:restaurant:beit-al-medyaf,no_photo
bestmuscat:restaurant:restaurant-coffee-shop,missing_address
bestmuscat:restaurant:restaurant-coffee-shop,no_photo
bestmuscat:restaurant:european-kitchen,no_photo
bestmuscat:restaurant:al-fawan-restaurant,no_photo
bestmuscat:restaurant:sultans-grills-shakes,no_photo
bestmuscat:restaurant:doganza,no_photo
bestmuscat:restaurant:rawazen-restaurant,missing_address
bestmuscat:restaurant:rawazen-restaurant,no_photo
bestmuscat:restaurant:rawabi-al-sharqiya-restaurant,no_photo
bestmuscat:restaurant:grill,no_photo
bestmuscat:restaurant:bistro-64,no_photo
bestmuscat:restaurant:cherry-bistro,no_photo
bestmuscat:restaurant:arax,no_photo
bestmuscat:restaurant:barbeque-nation,no_photo
bestmuscat:restaurant:aldyafa-for-omani-food,no_photo
bestmuscat:restaurant:al-khaleej-al-arabi,no_photo
bestmuscat:restaurant:marina-restaurant,no_photo
bestmuscat:restaurant:sama-a-sarooj,no_photo
bestmuscat:restaurant:al-ziza-restaurant,no_photo
bestmuscat:restaurant:blueberry,no_photo
bestmuscat:restaurant:bin-khumairi,no_photo
bestmuscat:restaurant:pure-food,no_photo
bestmuscat:restaurant:costa,no_photo
bestmuscat:restaurant:kamat,no_photo
bestmuscat:restaurant:dar-al-ozooma,no_photo
bestmuscat:restaurant:rafat-grills,no_photo
bestmuscat:restaurant:tasty-restaurant,no_photo
bestmuscat:restaurant:nahdat-ruwi-company-restaurant,no_photo
bestmuscat:restaurant:love-that-burger,no_photo
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:castle-restaurant,no_photo
bestmuscat:restaurant:nizam-restaurant,no_photo
bestmuscat:restaurant:doner-kabab,no_photo
bestmuscat:restaurant:chez-sushi,no_photo
bestmuscat:restaurant:omar-al-khayyam-restaurant,no_photo
bestmuscat:restaurant:waheed-restaurant,no_photo
bestmuscat:restaurant:kingdom-of-mandi,no_photo
bestmuscat:restaurant:steak-and-burger-factory,no_photo
bestmuscat:restaurant:noor-mahal-restaurant,no_photo
bestmuscat:restaurant:al-iraqi-house,no_photo
bestmuscat:restaurant:maitham-mohammed-restaurant,no_photo
bestmuscat:restaurant:tiger-home-restaurant,no_photo
bestmuscat:restaurant:the-indian-s-delight,no_photo
bestmuscat:restaurant:urban-deli,no_photo
bestmuscat:restaurant:four-squares-restaurant,no_photo
bestmuscat:restaurant:maydanos,no_photo
bestmuscat:restaurant:kanari-restaurant,no_photo
bestmuscat:restaurant:al-falafil-restaurant,no_photo
bestmuscat:restaurant:nawras-al-madina-trading-restaurant,no_photo
bestmuscat:restaurant:ferdos-aden-restaurant,no_photo
bestmuscat:restaurant:mt-m-str-wf-kwshyn-wq-lhflt,no_photo
bestmuscat:restaurant:oman-express-supplies-restaurant,no_photo
bestmuscat:restaurant:bora-bora,no_photo
bestmuscat:restaurant:restaurant-coffee-shop,no_photo
bestmuscat:restaurant:al-haikal-restaurant,no_photo
bestmuscat:restaurant:restaurant-sweets,no_photo
bestmuscat:restaurant:al-waseem-restaurant,no_photo
bestmuscat:restaurant:horizon-restaurant,no_photo
bestmuscat:restaurant:coffee-shop-grill,no_photo
bestmuscat:restaurant:al-failaq,no_photo
bestmuscat:restaurant:al-sahba,no_photo
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:yasir-broast-restaurant,no_photo
bestmuscat:restaurant:al-hamour-restaurant-coffee-shop,no_photo
bestmuscat:restaurant:mra-restaurant,no_photo
bestmuscat:restaurant:feast-at-east,no_photo
bestmuscat:restaurant:ashjan-ruwi,no_photo
bestmuscat:restaurant:zanzibar-grill-food,no_photo
bestmuscat:restaurant:big-grills,no_photo
bestmuscat:restaurant:outer-space-restaurant,no_photo
bestmuscat:restaurant:hot-burger,no_photo
bestmuscat:restaurant:bait-al-sahil,no_photo
bestmuscat:restaurant:luthar,no_photo
bestmuscat:restaurant:samia-restaurant-coffee-shop,no_photo
bestmuscat:restaurant:tai-burger,no_photo
bestmuscat:restaurant:al-mishmish-restaurant,no_photo
bestmuscat:restaurant:grill-bbq,no_photo
bestmuscat:restaurant:al-exandria-restaurant,no_photo
bestmuscat:restaurant:divine-restaurant,no_photo
bestmuscat:restaurant:alfireeg-grill,no_photo
bestmuscat:restaurant:city-linds-grill-fatayer,no_photo
bestmuscat:restaurant:black-white-restaurant,no_photo
bestmuscat:restaurant:afternoon,no_photo
bestmuscat:restaurant:city-burger,no_photo
bestmuscat:restaurant:maryam-al-fauri-restaurant,no_photo
bestmuscat:restaurant:city-tower-grill,no_photo
bestmuscat:restaurant:al-rafee-restaurant,no_photo
bestmuscat:restaurant:mumbai-masti-restaurant,no_photo
bestmuscat:restaurant:fishers-grilled,no_photo
bestmuscat:restaurant:al-shami-dish,no_photo
bestmuscat:restaurant:flames,no_photo
bestmuscat:restaurant:palm-restaurant,no_photo
bestmuscat:restaurant:ananthapuri,no_photo
bestmuscat:restaurant:hot-pot,no_photo
bestmuscat:restaurant:chinese-food,no_photo
bestmuscat:restaurant:pizza-muscat-restaurant,no_photo
bestmuscat:restaurant:mezza-house,no_photo
bestmuscat:restaurant:burger,no_photo
bestmuscat:restaurant:shams-restaurant,no_photo
bestmuscat:restaurant:mt-m-ltwmtyk,missing_address
bestmuscat:restaurant:mt-m-ltwmtyk,no_photo
bestmuscat:restaurant:mt-m-mmbs,no_photo
bestmuscat:restaurant:mt-m-rjn,no_photo
bestmuscat:restaurant:mt-m-lkhdr,missing_address
bestmuscat:restaurant:mt-m-lkhdr,no_photo
bestmuscat:restaurant:hz,no_photo
bestmuscat:restaurant:mt-m-qsr-ljdd,missing_address
bestmuscat:restaurant:mt-m-qsr-ljdd,no_photo
bestmuscat:restaurant:nnz,missing_address
bestmuscat:restaurant:nnz,no_photo
bestmuscat:restaurant:lryf-rstwrn,missing_address
bestmuscat:restaurant:lryf-rstwrn,no_photo
bestmuscat:restaurant:mqh-wmt-m-ldyr,missing_address
bestmuscat:restaurant:mqh-wmt-m-ldyr,no_photo
bestmuscat:restaurant:mt-m-bn-tyq-msqt,no_photo
bestmuscat:restaurant:mt-m-lmdhq-lzfry,no_photo
bestmuscat:restaurant:lrd-llbn,missing_address
bestmuscat:restaurant:lrd-llbn,no_photo
bestmuscat:restaurant:myr-mndy,missing_address
bestmuscat:restaurant:myr-mndy,no_photo
bestmuscat:restaurant:qsr-lkbb-lfgny,no_photo
bestmuscat:restaurant:bab-tuma,missing_address
bestmuscat:restaurant:bab-tuma,no_photo
bestmuscat:restaurant:mt-m-lfwn,missing_address
bestmuscat:restaurant:mt-m-lfwn,no_photo
bestmuscat:restaurant:mt-m-fwd-bwk,missing_address
bestmuscat:restaurant:mt-m-fwd-bwk,no_photo
bestmuscat:restaurant:lsywy,missing_address
bestmuscat:restaurant:lsywy,no_photo
bestmuscat:restaurant:qry-lmshkyk-mqhy-lmyr,missing_address
bestmuscat:restaurant:qry-lmshkyk-mqhy-lmyr,no_photo
bestmuscat:restaurant:lmys,missing_address
bestmuscat:restaurant:lmys,no_photo
bestmuscat:restaurant:byt-fyrwz,missing_address
bestmuscat:restaurant:byt-fyrwz,no_photo
bestmuscat:restaurant:gokul-vegetarian-restaurant,missing_address
bestmuscat:restaurant:gokul-vegetarian-restaurant,no_photo
bestmuscat:restaurant:b-f,no_photo
bestmuscat:restaurant:izmir-restaurant,no_photo
bestmuscat:restaurant:al-mandoos,no_photo
bestmuscat:restaurant:the-taste-of-india,no_photo
bestmuscat:restaurant:mshtr-shwrm,missing_address
bestmuscat:restaurant:mshtr-shwrm,no_photo
bestmuscat:restaurant:the-turkish-house,no_photo
bestmuscat:restaurant:charm-thai,no_photo
bestmuscat:restaurant:hamoir-al-khaleej-restaurant,missing_address
bestmuscat:restaurant:hamoir-al-khaleej-restaurant,no_photo
bestmuscat:restaurant:wagamama,no_photo
bestmuscat:restaurant:solo-taco,no_photo
bestmuscat:restaurant:park-burger,no_photo
bestmuscat:restaurant:mt-m-rfyl,no_photo
bestmuscat:restaurant:takara,missing_address
bestmuscat:restaurant:takara,no_photo
bestmuscat:restaurant:meerath-famous-restaurant,missing_address
bestmuscat:restaurant:meerath-famous-restaurant,no_photo
bestmuscat:restaurant:indian-fine-dining,no_photo
bestmuscat:restaurant:bait-al-mandi-restaurant,no_photo
bestmuscat:restaurant:khzn-llmkwlt,no_photo
bestmuscat:restaurant:al-amira,no_photo
bestmuscat:restaurant:africans-food,no_photo
bestmuscat:restaurant:juice-shop,missing_address
bestmuscat:restaurant:juice-shop,no_photo
bestmuscat:restaurant:mt-m-lrwzn-lsh-by,missing_address
bestmuscat:restaurant:mt-m-lrwzn-lsh-by,no_photo
bestmuscat:restaurant:mt-m-wfrn-msqt,missing_address
bestmuscat:restaurant:mt-m-wfrn-msqt,no_photo
bestmuscat:restaurant:mt-m-lsdq-wlslm,missing_address
bestmuscat:restaurant:mt-m-lsdq-wlslm,no_photo
bestmuscat:restaurant:mt-m-lkhrwf-ldhby,missing_address
bestmuscat:restaurant:mt-m-lkhrwf-ldhby,no_photo
bestmuscat:restaurant:twins-turkish-cuisine,missing_address
bestmuscat:restaurant:twins-turkish-cuisine,no_photo
bestmuscat:restaurant:fresco,no_photo
bestmuscat:restaurant:naranji-maharaj,no_photo
bestmuscat:restaurant:mt-m-mstrd-khrdl,no_photo
bestmuscat:restaurant:dukanah-cafe,no_photo
bestmuscat:restaurant:lwtwmtyk,no_photo
bestmuscat:restaurant:mt-m-lbyt-lyrny,missing_address
bestmuscat:restaurant:mt-m-lbyt-lyrny,no_photo
bestmuscat:restaurant:mt-m-wmqh,no_photo
bestmuscat:restaurant:papa-johns,missing_address
bestmuscat:restaurant:papa-johns,no_photo
bestmuscat:restaurant:mt-m-byt-llbn,missing_address
bestmuscat:restaurant:mt-m-byt-llbn,no_photo
bestmuscat:restaurant:mtbkh-s-wdy,no_photo
bestmuscat:restaurant:mt-m-wmqh,missing_address
bestmuscat:restaurant:mt-m-wmqh,no_photo
bestmuscat:restaurant:mt-m-ly-jm-h,no_photo
bestmuscat:restaurant:mkdwnldz,no_photo
bestmuscat:restaurant:mt-m-dwstyn-ljdyd,no_photo
bestmuscat:restaurant:mt-m-mkwlt-lmy,no_photo
bestmuscat:restaurant:lqs,no_photo
bestmuscat:restaurant:l-lm-l-rby,no_photo
bestmuscat:restaurant:kzn-hwb,no_photo
bestmuscat:restaurant:seafood-grill,no_photo
bestmuscat:restaurant:zmn-lkhyr-llbnny,missing_address
bestmuscat:restaurant:zmn-lkhyr-llbnny,no_photo
bestmuscat:restaurant:shysh-shwrm,no_photo
bestmuscat:restaurant:mt-m-byt-lmshwy,no_photo
bestmuscat:restaurant:mt-m-lwtwmtyk-lhyl,missing_address
bestmuscat:restaurant:mt-m-lwtwmtyk-lhyl,no_photo
bestmuscat:restaurant:lymn-ls-yd,missing_address
bestmuscat:restaurant:lymn-ls-yd,no_photo
bestmuscat:restaurant:mshwy-lmdny,missing_address
bestmuscat:restaurant:mshwy-lmdny,no_photo
bestmuscat:restaurant:mt-m-mshwyt-lwshwf,no_photo
bestmuscat:restaurant:star-coffee-shop,no_photo
bestmuscat:restaurant:mt-m-lhb-llmkwlt-l-mnyh,missing_address
bestmuscat:restaurant:mt-m-lhb-llmkwlt-l-mnyh,no_photo
bestmuscat:restaurant:mt-m-bw-mnn,no_photo
bestmuscat:restaurant:the-arab-world-restaurant,no_photo
bestmuscat:restaurant:mt-m-mht-lkbb,missing_address
bestmuscat:restaurant:mt-m-mht-lkbb,no_photo
bestmuscat:restaurant:harvest,missing_address
bestmuscat:restaurant:harvest,no_photo
bestmuscat:restaurant:kbsh-styshn,missing_address
bestmuscat:restaurant:kbsh-styshn,no_photo
bestmuscat:restaurant:rooster-home,missing_address
bestmuscat:restaurant:rooster-home,no_photo
bestmuscat:restaurant:pizza-hut,missing_address
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:kamat-restaurant,missing_address
bestmuscat:restaurant:kamat-restaurant,no_photo
bestmuscat:restaurant:mt-m-qry-dmshq,missing_address
bestmuscat:restaurant:mt-m-qry-dmshq,no_photo
bestmuscat:restaurant:mt-m-rdhdh-tyn,missing_address
bestmuscat:restaurant:mt-m-rdhdh-tyn,no_photo
bestmuscat:restaurant:mt-m-w-mqh-nshw,missing_address
bestmuscat:restaurant:mt-m-w-mqh-nshw,no_photo
bestmuscat:restaurant:char,missing_address
bestmuscat:restaurant:char,no_photo
bestmuscat:restaurant:wet-deck,missing_address
bestmuscat:restaurant:wet-deck,no_photo
bestmuscat:restaurant:melenzane-shati-al-qurum,missing_address
bestmuscat:restaurant:melenzane-shati-al-qurum,no_photo
bestmuscat:restaurant:farzi-cafe,missing_address
bestmuscat:restaurant:farzi-cafe,no_photo
bestmuscat:restaurant:mls-steakhouse,missing_address
bestmuscat:restaurant:mls-steakhouse,no_photo
bestmuscat:restaurant:trader-vic-s,no_photo
bestmuscat:restaurant:mt-m-zmzm-lmndy,missing_address
bestmuscat:restaurant:mt-m-zmzm-lmndy,no_photo
bestmuscat:restaurant:jyn,missing_address
bestmuscat:restaurant:jyn,no_photo
bestmuscat:restaurant:mt-m,missing_address
bestmuscat:restaurant:mt-m,no_photo
bestmuscat:restaurant:mt-m-bnjb,missing_address
bestmuscat:restaurant:mt-m-bnjb,no_photo
bestmuscat:restaurant:dwmynwz,missing_address
bestmuscat:restaurant:dwmynwz,no_photo
bestmuscat:restaurant:al-mouj-golf-restaurant,missing_address
bestmuscat:restaurant:al-mouj-golf-restaurant,no_photo
bestmuscat:restaurant:mnd-yn,missing_address
bestmuscat:restaurant:mnd-yn,no_photo
bestmuscat:restaurant:mt-m,missing_address
bestmuscat:restaurant:mt-m,no_photo
bestmuscat:restaurant:al-hawas,missing_address
bestmuscat:restaurant:al-hawas,no_photo
bestmuscat:restaurant:mt-m,missing_address
bestmuscat:restaurant:mt-m,no_photo
bestmuscat:restaurant:mt-m-trky,missing_address
bestmuscat:restaurant:mt-m-trky,no_photo
bestmuscat:restaurant:mt-m-hsn-rydn-llmndy,missing_address
bestmuscat:restaurant:mt-m-hsn-rydn-llmndy,no_photo
bestmuscat:restaurant:mynahs-edge,missing_address
bestmuscat:restaurant:mynahs-edge,no_photo
bestmuscat:restaurant:mt-m-shrymby-mkwlt-bhry,missing_address
bestmuscat:restaurant:mt-m-shrymby-mkwlt-bhry,no_photo
bestmuscat:restaurant:akiko,missing_address
bestmuscat:restaurant:akiko,no_photo
bestmuscat:restaurant:mt-m-slymn-l-mry,missing_address
bestmuscat:restaurant:mt-m-slymn-l-mry,no_photo
bestmuscat:restaurant:kurkum,missing_address
